wavelet,pearson correlation,nrmse,compression ratio,mode,threshold,levels
coif1,0.9951999449903355,0.049708268865645014,1.3354930970562195,hard,50,9
sym2,0.9951011770725633,0.05021669781563311,1.3290444149988814,hard,50,9
sym2,0.980968027520315,0.09862754346672876,1.3224289703895606,hard,150,9
db4,0.9782052712990094,0.15226544267135234,1.3191898211805941,hard,150,1
bior1.3,0.9898450865115804,0.07653272550553347,1.3126808010143554,soft,50,4
bior1.3,0.9689876839461092,0.14715567203436297,1.3071708804841968,soft,150,4
coif1,0.976942517547057,0.15503504848583335,1.3040918293430412,hard,150,1
sym2,0.9768061002010804,0.155338385787251,1.2898523131702315,hard,150,1
bior1.3,0.96784985257707,0.1292977457367748,1.288722359050346,soft,150,9
bior1.3,0.9897225234172797,0.07337939302083878,1.2861234664939225,soft,50,9
bior1.3,0.9951667470004115,0.04994007766240366,1.2340096794346367,hard,50,4
haar,0.9724596203541742,0.16403588622876225,1.2289201295239913,hard,150,1
bior1.3,0.9951316474815091,0.050118403930412156,1.2101513313966425,hard,50,9
bior1.3,0.9721172641225784,0.1648899672645514,1.1937951544642056,hard,150,1
